USER_ID,ITEM_ID,TIMESTAMP
user_142,grape,1612795283
user_142,strawberry,1612795376
user_142,pineapple,1612795472
user_142,orange,1612795522
user_142,broccoli,1612795634
user_142,blueberries,1612795650
user_142,pineapple,1612795757
user_142,blueberries,1612795805
user_142,strawberry,1612795824
user_142,orange,1612795890
user_142,cherrytomato,1612795950
user_142,corn,1612796068
user_142,pomegranate,1612796147
user_142,grape,1612796183
user_142,banana,1612796216
user_142,broccoli,1612796330
user_142,cherrytomato,1612796446
user_142,pomegranate,1612796500
user_142,blueberries,1612796612
user_142,cherrytomato,1612796643
user_142,grape,1612796695
user_142,cherrytomato,1612796712
user_142,cherrytomato,1612796803
user_142,corn,1612796859
user_142,cherrytomato,1612796940
user_142,apple,1612797051
user_142,orange,1612797113
user_142,blueberries,1612797121
user_142,broccoli,1612797237
user_142,pineapple,1612797276
user_142,apple,1612797383
user_142,pineapple,1612797406
user_142,apple,1612797417
user_142,banana,1612797434
user_142,pomegranate,1612797481
user_142,cherrytomato,1612797537
user_142,corn,1612797654
user_142,corn,1612797717
user_142,grape,1612797730
user_142,blueberries,1612797833
user_142,corn,1612797870
user_142,corn,1612797895
user_142,orange,1612797936
user_142,apple,1612798042
user_142,grape,1612798048
user_142,broccoli,1612798077
user_142,cherrytomato,1612798102
user_129,hamburger,1612844619
user_129,hamburger,1612844656
user_129,pancake,1612844698
user_129,cake2,1612844799
user_129,waffle,1612844893
user_129,pizza,1612844912
user_129,cake,1612844965
user_129,croissant,1612845015
user_129,cake2,1612845070
user_142,banana,1612889919
user_142,corn,1612890015
user_142,orange,1612890034
user_142,strawberry,1612890132
user_142,apple,1612890236
user_142,pineapple,1612890301
user_142,broccoli,1612890399
user_142,cherrytomato,1612890412
user_142,strawberry,1612890489
user_142,broccoli,1612890492
user_142,banana,1612890529
user_142,corn,1612890576
user_142,grape,1612890627
user_142,orange,1612890731
user_142,orange,1612890830
user_142,pineapple,1612890916
user_142,broccoli,1612891015
user_142,blueberries,1612891129
user_142,banana,1612891229
user_142,blueberries,1612891277
user_142,strawberry,1612891358
user_142,strawberry,1612891395
user_142,broccoli,1612891465
user_142,grape,1612891576
user_142,strawberry,1612891602
user_142,cherrytomato,1612891611
user_142,orange,1612891728
user_142,cherrytomato,1612891821
user_142,orange,1612891833
user_142,grape,1612891870
user_142,corn,1612891950
user_142,strawberry,1612892046
user_129,hamburger,1612916660
user_129,cake,1612916738
user_129,hamburger,1612916830
user_129,cake,1612916893
user_129,bun,1612916984
user_129,croissant,1612917053
user_129,hamburger,1612917079
user_129,pretzel,1612917181
user_129,bun,1612917241
user_129,cake2,1612917338
user_129,donuts,1612917377
user_129,bun,1612917479
user_129,donuts,1612917532
user_129,pancake,1612917613
user_129,donuts,1612917666
user_129,croissant,1612917722
user_129,pizza,1612917827
user_129,pretzel,1612917863
user_129,hamburger,1612917913
user_129,cake,1612917918
user_129,hamburger,1612917960
user_129,bagel,1612917973
user_129,waffle,1612918087
user_129,cake,1612918133
user_129,donuts,1612918149
user_129,pancake,1612918175
user_129,pizza,1612918235
user_129,waffle,1612918344
user_129,donuts,1612918372
user_129,donuts,1612918410
user_129,pizza,1612918492
